,accuracy,accuracy,accuracy,accuracy,accuracy,f1_score,f1_score,precision,precision,recall,recall
,mean,std,min,max,count,mean,std,mean,std,mean,std
noise_level,,,,,,,,,,,
0.0,0.8972,0.0,0.8972,0.8972,3,0.8808,0.0,0.9088,0.0,0.8972,0.0
0.001,0.9155,0.0,0.9155,0.9155,3,0.9058,0.0,0.9217,0.0,0.9155,0.0
0.01,0.9658,0.0,0.9658,0.9658,3,0.965,0.0,0.9655,0.0,0.9658,0.0
0.05,0.3288,0.0,0.3288,0.3288,3,0.3083,0.0,0.8537,0.0,0.3288,0.0
